business_id,name,latitude,longitude,google_place_id,google_name,google_rating,google_user_ratings_total,google_price_level,google_business_status,google_types,google_hours_per_week,google_photo_count,google_unique_photo_contributors,google_has_photos
L4f7DvOdzkqPlltqmwL0Rg,CRUDA Mariscos & Oyster Bar,32.2225591566,-110.9701417842,ChIJEwny69Fx1oYRTKyqRrdO8rY,CRUDA Mariscos & Oyster Bar,4.6,656.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",49.0,10,4,True
6N9T23_iXkcOCh6boAXpIg,Nox Kitchen + Cocktails,32.3220708,-110.9287346,ChIJs6Eu8Ihv1oYRXiy-Pvo08ho,UnCork'd Kitchen & Cocktails,4.5,78.0,,OPERATIONAL,"bar, establishment, food, point_of_interest, restaurant",77.0,10,6,True
8qCbeHopky8xpGndJCcr7w,eegee's,32.1785317,-110.9763018,ChIJ8UCIa7Fx1oYRbwCHdzNExxs,eegee's,4.3,1293.0,1.0,OPERATIONAL,"establishment, food, meal_takeaway, point_of_interest, restaurant",80.5,10,9,True
rdtMeOwRcXw4mJVxiBQ_IQ,La Mesa Tortillas,32.3245749305,-111.0432738044,ChIJ_2VJS9dx1oYRQPIEKJfSpvs,La Mesa Tortillas,4.4,140.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",40.0,10,6,True
pJch8MuldB4WJtg6gsTU5Q,The Sweet Coquí,32.1960032012,-110.9788070743,ChIJuUgtBgBz1oYRzEZXs10o4DQ,Batey Puerto Rican Gastronomy,4.9,232.0,,OPERATIONAL,"establishment, food, point_of_interest, restaurant",39.0,10,8,True
o6M6fFBHl_nsDkYxopZuuw,Main Gate Square,32.2315,-110.959248,ChIJ4xBcGwRx1oYRCY6RthhaAmk,Main Gate Square,4.4,2259.0,,OPERATIONAL,"establishment, point_of_interest, shopping_mall",61.0,10,10,True
hkiJtkvSNBiSkc_op9a54A,Hummingbird Cafe,32.2197685242,-110.8433303833,ChIJU73WOMoJW1MR1v8tFVFaJGE,Hummingbird Cafe,4.4,603.0,2.0,OPERATIONAL,"bar, cafe, establishment, food, point_of_interest, restaurant, store",38.0,10,7,True
fEdDmhp6MQhuPF-iVLcmEw,Carlota's Authentic Mexican Cuisine,32.3957481384,-110.9936447144,ChIJcWzva8oP1oYRk6VjVvSxdtI,Carlota's Authentic Mexican,4.5,1073.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",63.0,10,6,True
BauybYsfqd0y6KDrJ6ZxjQ,Starbucks,32.220577,-110.8384691,ChIJZVb3JhZv1oYR8zOIzVVOseE,Starbucks,4.3,695.0,2.0,OPERATIONAL,"cafe, establishment, food, point_of_interest, restaurant, store",115.5,10,7,True
G1EanzvwOGLx_J-IwxnwtQ,The Frozen Cactus,32.2364406,-110.8691922,ChIJbwSuOLJv1oYR5NWQZI11VFo,The Frozen Cactus sports bar and restauraunt,4.1,750.0,1.0,OPERATIONAL,"bar, establishment, food, point_of_interest, restaurant",102.0,10,9,True
